--- Table 1 ---
Klasik Müzik Dönemi,Tarihsel Aralık,Temel Karakteristikler ve Estetik Arayış
Medieval (Orta Çağ),500 – 1400,"Gregorian kantoları, tek sesli melodi (unison) ve Katolik Kilisesi odaklı dini kompozisyonlar."
Renaissance (Rönesans),1400 – 1600,Polifoni (çok seslilik) kullanımı ve bağımsız melodilerin eş zamanlı bir uyum içinde bir araya getirilmesi.
Baroque (Barok),1600 – 1750,"Süslü melodiler, karmaşık armoniler ve kontrast yaratan yoğun enstrümantasyon yapıları."
Galant,1720 – 1770,"Barok dönemin yoğun karmaşıklığına bir tepki olarak doğan sade, zarif ve melodi odaklı geçiş tarzı."
Classical (Klasik),1750 – 1820,"Formda denge, netlik, simetri ve yapısal sadelik arayışı."
Romantic (Romantik),1780 – 1910,"Yoğun duygu, bireysel ifade, dramatik anlatım ve kural dışı form arayışları."
Modernism / High Modernism,1890 – Günümüz,"Geleneksel tonalite ve formların reddi, atonalite, serializm ve radikal deneysel teknikler."
Postmodern & Experimental,1930 / 1950 – Günümüz,"Eski ve yeninin kolajı, kuralların esnetilmesi, şans faktörü ve gürültü ile sessizliğin entegrasyonu."

--- Table 2 ---
Popüler Müzik Türü,Kökeni ve Tarihsel Kırılma Noktası,Temel Enstrümantasyon ve Yapısal Form,Sosyo-Kültürel ve Teknolojik Dinamikler
Jazz,New Orleans (19. yy sonu - 20. yy başı),"Trompet, trombon, saksofon, piyano, kontrbas; senkoplu ritimler ve doğaçlama.",Afrika ritimleri ile Avrupa armonilerinin sentezi; swing büyük orkestraları ve radyo dönemi.
Blues,Güney ABD Plantasyonları (Amerikan İç Savaşı sonrası),"Akustik/elektrik gitar, mızıka; çağrı-cevap yapısı ve mavi notalar.","Siyah Amerikalıların tarlalardaki iş şarkıları ve feryatları; ""Race Records"" plak sektörü."
Rock and Roll / Rock,ABD (1950'lerin ortası),"Elektro-gitar, bas gitar, davul; sert arka ritim (backbeat) ve yüksek ses gücü.","R&B ve country sentezi; gençlik isyanı, amplifikatör teknolojisi ve gençlerin harcama gücü."
Country,Güney ve Batı ABD Kırsalı (20. yy başı),"Keman, banjo, gitar, mandolin, çelik gitar; basit akorlar ve yodel tekniği.","İngiliz, İskoç ve İrlandalı yerleşimcilerin halk baladları; göç dalgaları ve radyo yayılımı."
Hip-Hop / Rap,"Bronx, New York (1970'lerin sonu)","Turntable (pikap), sampler, drum machine; ritmik konuşma (rapping) ve breakbeat.",DJ Kool Herc'ün Jamaika ses sistemlerini getirmesi; azınlık topluluklarının sosyo-politik sesi.

--- Table 3 ---
Beyin Bölgesi / Yapısı,Spesifik Nöral Görevi,Fonksiyonel Analiz ve İşlevi
Sağ Temporal Lob,"Perde, melodi ve armoni çözümlemesi.","Notaların perde dizilimlerini, akorları ve dikey harmonik yapıları algılar."
Temporal Gyrus (Yakın Alanlar),Timbre (tını) ayrımı.,Aynı notayı çalan farklı enstrümanların (örneğin keman ile piyano) ses kalitesini ayırt eder.
Serebellum (Beyincik),"Ritim, zamanlama ve motor koordinasyon.","Müziğin zamansal yapısını çözer, motor sistemle senkronizasyon kurarak fiziksel hareketi düzenler."
Amigdala ve Hipokampus,Duygusal hafıza ve otobiyografik bellek.,Müziğe bağlı anıları çağırır ve bu anıların tetiklediği duygusal reaksiyonları yönetir.
Mezolimbik Ödül Sistemi,Dopaminerjik aktivasyon ve haz duyumu.,"Güçlü müzikal uyarılma anlarında (""spine-tingling"" ürperme hissi) dopamin salgılatır."
Motor Sistem,Ritim tahmini ve kas senkronizasyonu.,Bireg henüz fiziksel olarak ritim tutmaya başlamadan önce vuruşu (beat) tahmin ederek motor sistemi aktive eder.
Orbitofrontal Korteks (OFC),"Beklenti, tahmin ve gerilim-çözülme analizi.",Western tonal müziğindeki gerilim (tension) ve çözülme (resolution) kalıplarını işler; OKB hastalarında hiperaktivite gösterir.

--- Table 4 ---
Hedef Klinik Durum,Uygulanan Müzikal Müdahale,Gözlemlenen Fizyolojik ve Klinik Sonuçlar
Sol Hemisfer Hasarı / Afazi,Melodik İntonasyon Terapisi (konuşmayı şarkı formuna dökme).,Hasarsız olan sağ beyni uyararak konuşma yetisinin geri kazanılması (örneğin Gabrielle Giffords'un iyileşme süreci).
Alzheimer ve Demans,Kişiselleştirilmiş nostaljik çalma listelerinin dinletilmesi.,"Uzun süreli bellekte kodlanmış ""Happy Birthday"" gibi şarkılarla bellek kapılarının açılması, geçici bilişsel uyanış ve sosyal iletişim artışı."
Parkinson Hastalığı,Ritmik adım atma ve hareket-müzik senkronizasyonu.,Serebellar ve motor devrelerin uyarılmasıyla yürüme donmalarının önüne geçilmesi ve fiziksel mobilitenin artması.
Düşme Riski Olan Yaşlılar,Altı ay boyunca müzik eşliğinde yürüyüş ve ritim eğitimi.,Motor koordinasyon ve dengenin iyileşmesi; kontrol grubuna kıyasla düşme vakalarında %54 oranında düşüş.
Cerrahi Hastaları (Pre/Post-op),Yavaş tempolu enstrümantal müzik dinletimi.,"Kan basıncında (sistolik , diyastolik ) düşüş, adrenaline ve IL-6 düzeylerinde azalma, sedatif ilaç gereksiniminde düşüş."
