[Table 1],,,
Benchmark (Kıyaslama),Temel Amacı ve Odak Noktası,Kapsam ve Yapısal Açıklamalar,
MMLU[cite: 35],Profesyonel Uzmanlık ve Dünya Bilgisi,"57 farklı disiplini kapsar (Hukuk, Tıp, İleri Matematik).Modelin ön-eğitimde (pre-training) gördüğü bilgileri ""Zero-shot"" (sıfır örnek) ayarlarında test eder.İngilizce'de LLM'ler %90 başarıyla testi doygunluğa ulaştırmıştır.",
Belebele[cite: 41],Küresel Ölçekte Çapraz Dilde Okuduğunu Anlama,"Tamamen paralel 122 farklı dil varyantını kapsar (yüksek ve düşük kaynaklı diller bir arada).FLORES-200 bağlamlarını kullanarak tasarlanmış çoktan seçmeli sorulardan oluşur.İngilizce merkezli (English-centric) büyük modellerle, dengeleyici çok dilli (multilingual) modeller arasındaki farkı gösterir.",
2M-BELEBELE[cite: 44],Çok Modlu (Multimodal) Anlama Kapasitesi,Belebele veri setini konuşma (speech) tanıma ve Amerikan İşaret Dili (ASL) yönünde genişletir.Okuduğunu anlama (reading) ile işittiğini anlama arasındaki %10'luk performans farkını analiz eder.,
MM-JudgeBench[cite: 50],Hakem Model (LLM-as-a-Judge) Performansı,Modellerin diğer modelleri değerlendirme kapasitesini 25 tipolojik olarak farklı dilde ölçer.Açık ve kapalı kaynaklı 22 adet görsel-dil (LVLM) modelinin tarafsızlığını kıyaslar.,
[Table 2],,,
Algoritma Modeli,Bellek Karmaşıklığı (IO),Hızlandırıcı Entegrasyonu,Endüstriyel Etki ve Çıkarım Performansı
Geleneksel MHA,Karesel: O(N^2),Yok / Sınırlı,Devasa boyutlu KV önbelleği nedeniyle yavaştır.
FlashAttention-1,Doğrusal: O(N),SRAM Döşeme (Tiling),GPU okuma/yazma döngülerini minimuma indirerek hız sağlar.
FlashAttention-2,Doğrusal: O(N),İş Bölümü Dağıtımı,NVIDIA A100'lerde donanım limitinin %73'üne (225 TFLOP/s) ulaşır.
FlashAttention-3,Doğrusal: O(N),TMA ve Asenkronizasyon,Hopper (H100) mimarisinde FP8 desteği ile 1.2 PFLOP/s gücüne ulaşır.
GQA (Ainslie vd.),Değişken / Ara Form,MHA ve MQA Melezi,Çıkarım sırasında bellek tüketimini azaltırken kaliteden ödün vermez.
