[Table 1],,,,
Model Adı,CASP14 Medyan GDT-TS,CAMEO Medyan RMSD (Å),Ortalama Tahmin Süresi,MSA Gerekli Mi?
AlphaFold2,92.4,1.30,Dakikalar - Saatler,Evet
ESMFold (15B),87.0,1.74,Saniyeler,Hayır
RoseTTAFold,81.5,1.95,Dakikalar,Evet
[Table 2],,,,
Model,Temel Paradigma,Kayıp / Optimizasyon Hedefi,Temel Güçlü Yönler,
AlphaFold2,Regresyon (Dikkat/Attention),"FAPE, Çapraz Entropi (MSA)",Yüksek doğruluklu monomer/multimer tahmini,
ESMFold,LLM + Regresyon,"FAPE, Maskeli Dil Modelleme (MLM)","Yüksek verimli, hizalamasız (alignment-free) katlanma",
RFdiffusion,DDPM (Gürültü Giderme),Çerçeveler Üzerinde Ortalama Kare Hatası,"De novo protein tasarımı, bağlayıcı iskeletleme",
AlphaFold 3,Difüzyon (Üretken/Generative),Koordinat Gürültü Giderme (Denoising),Birleşik protein-nükleik asit-ligand tahmini,
[Table 3],,,,
Veri Tabanı,Birincil Veri Türü,Yapısal Derin Öğrenme Boru Hattındaki İşlevi,,
PDB (Protein Data Bank),3B Atomik Koordinatlar,FAPE kayıp hesaplaması için temel gerçeklik (ground-truth) etiketleri.,,
BFD (Big Fantastic Database),Metagenomik Protein Dizileri,MSA oluşturma (HMMER) için devasa dizi çeşitliliği sağlar.,,
UniRef (30/90),Kümelenmiş Protein Dizileri,Evoformer dizi hizalaması için hızlı homoloji araması.,,
